,States,State_abbrev,Population
0,Alabama,AL,4903185
1,Alaska,AK,731545
2,Arizona,AZ,7278717
3,Arkansas,AR,3017804
4,California,CA,39512223
5,Colorado,CO,5758736
6,Connecticut,CT,3565287
7,Delaware,DE,973764
8,District of Columbia,DC,705749
9,Florida,FL,21477737
10,Georgia,GA,10617423
11,Hawaii,HI,1415872
12,Idaho,ID,1787065
13,Illinois,IL,12671821
14,Indiana,IN,6732219
15,Iowa,IA,3155070
16,Kansas,KS,2913314
17,Kentucky,KY,4467673
18,Louisiana,LA,4648794
19,Maine,ME,1344212
20,Maryland,MD,6045680
21,Massachusetts,MA,6892503
22,Michigan,MI,9986857
23,Minnesota,MN,5639632
24,Mississippi,MS,2976149
25,Missouri,MO,6137428
26,Montana,MT,1068778
27,Nebraska,NE,1934408
28,Nevada,NV,3080156
29,New Hampshire,NH,1359711
30,New Jersey,NJ,8882190
31,New Mexico,NM,2096829
32,New York,NY,19453561
33,North Carolina,NC,10488084
34,North Dakota,ND,762062
35,Ohio,OH,11689100
36,Oklahoma,OK,3956971
37,Oregon,OR,4217737
38,Pennsylvania,PA,12801989
39,Rhode Island,RI,1059361
40,South Carolina,SC,5148714
41,South Dakota,SD,884659
42,Tennessee,TN,6829174
43,Texas,TX,28995881
44,Utah,UT,3205958
45,Vermont,VT,623989
46,Virginia,VA,8535519
47,Washington,WA,7614893
48,West Virginia,WV,1792147
49,Wisconsin,WI,5822434
50,Wyoming,WY,578759
52,Puerto Rico,PR,3193694
